Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
03/01/2024,08:23:35,4.3,27.5807,-111.404,10,"62 km al SUROESTE de H GUAYMAS, SON",03/01/2024,14:23:35,revisado
08/01/2024,23:56:04,3.3,31.3713,-114.182,16.3,"62 km al OESTE de PUERTO PEÑASCO, SON",09/01/2024,05:56:04,revisado
18/01/2024,01:45:32,3.8,27.4322,-111.311,13.9,"67 km al SUROESTE de H GUAYMAS, SON",18/01/2024,07:45:32,revisado
20/01/2024,03:15:05,3.5,27.3788,-111.287,16.5,"71 km al SUROESTE de H GUAYMAS, SON",20/01/2024,09:15:05,revisado
21/01/2024,12:54:40,3.5,27.3473,-111.291,10,"74 km al SUROESTE de H GUAYMAS, SON",21/01/2024,18:54:40,revisado
22/01/2024,06:18:15,3.8,27.4098,-111.465,10,"79 km al SUROESTE de H GUAYMAS, SON",22/01/2024,12:18:15,revisado
23/01/2024,07:14:44,3.6,27.3277,-111.28,17,"75 km al SUROESTE de H GUAYMAS, SON",23/01/2024,13:14:44,revisado
23/01/2024,07:18:53,3.5,27.3847,-111.312,16.2,"72 km al SUROESTE de H GUAYMAS, SON",23/01/2024,13:18:53,revisado
24/01/2024,09:09:07,3.7,26.6342,-110.403,10,"78 km al SUROESTE de VILLA JUAREZ, SON",24/01/2024,15:09:07,revisado
24/01/2024,23:08:34,3.8,27.5875,-111.53,15,"72 km al SUROESTE de H GUAYMAS, SON",25/01/2024,05:08:34,revisado
25/01/2024,07:07:55,3.5,27.3483,-111.337,11,"76 km al SUROESTE de H GUAYMAS, SON",25/01/2024,13:07:55,revisado
25/01/2024,08:57:04,3.9,26.4927,-110.496,10,"93 km al SUROESTE de HUATABAMPO, SON",25/01/2024,14:57:04,revisado
25/01/2024,15:59:00,4.1,26.4612,-110.514,10,"96 km al SUROESTE de HUATABAMPO, SON",25/01/2024,21:59:00,revisado
28/01/2024,15:30:53,3.7,31.379,-114.229,18.1,"66 km al OESTE de PUERTO PEÑASCO, SON",28/01/2024,21:30:53,revisado
29/01/2024,10:35:04,3.9,26.2962,-110.28,13.4,"87 km al SUROESTE de HUATABAMPO, SON",29/01/2024,16:35:04,revisado
30/01/2024,15:39:14,3.6,30.626,-113.904,10,"84 km al SUROESTE de PUERTO PEÑASCO, SON",30/01/2024,21:39:14,revisado
30/01/2024,21:04:07,4.2,27.4815,-111.348,10,"66 km al SUROESTE de H GUAYMAS, SON",31/01/2024,03:04:07,revisado
31/01/2024,01:16:09,3.8,27.4293,-111.32,16.2,"68 km al SUROESTE de H GUAYMAS, SON",31/01/2024,07:16:09,revisado
01/02/2024,13:17:58,3.5,27.8932,-111.574,15.7,"67 km al OESTE de H GUAYMAS, SON",01/02/2024,19:17:58,revisado
04/02/2024,00:45:07,3.7,26.4855,-110.219,16.7,"69 km al SUROESTE de HUATABAMPO, SON",04/02/2024,06:45:07,revisado
