Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
19/02/1980,22:23:09,3.5,19.4,-99.21,1,"1 km al OESTE de V ALVARO OBREGON, CDMX",20/02/1980,04:23:09,revisado
04/02/1981,07:40:26,3.5,19.39,-99.2,2,"1 km al SUR de V ALVARO OBREGON, CDMX",04/02/1981,13:40:26,revisado
12/02/1990,05:47:49,3.5,19.37,-99.2,4,"3 km al SUR de V ALVARO OBREGON, CDMX",12/02/1990,11:47:49,revisado
08/02/1998,19:14:32,2.6,19.36,-99.19,11,"3 km al NOROESTE de COYOACAN, CDMX",09/02/1998,01:14:32,revisado
13/10/2000,21:44:48,3.1,19.36,-99.19,12,"3 km al NOROESTE de COYOACAN, CDMX",14/10/2000,02:44:48,revisado
23/11/2008,04:11:53,2.5,19.34,-99.24,11,"3 km al NOROESTE de LA MAGDALENA C, CDMX",23/11/2008,10:11:53,verificado
23/11/2008,04:52:39,1.6,19.34,-99.24,9,"3 km al NOROESTE de LA MAGDALENA C, CDMX",23/11/2008,10:52:39,verificado
11/07/2009,16:29:33,2.9,19.34,-99.15,8,"2 km al SURESTE de COYOACAN, CDMX",11/07/2009,21:29:33,revisado
24/06/2010,10:36:17,3.1,19.38,-99.15,14,"3 km al SURESTE de BENITO JUAREZ, CDMX",24/06/2010,15:36:17,revisado
18/01/2013,22:47:44,2.9,19.3525,-99.1687,10.4,"1 km al NOROESTE de COYOACAN, CDMX",19/01/2013,04:47:44,revisado
15/06/2013,19:21:12,2.7,19.3855,-99.1425,8.5,"2 km al SURESTE de BENITO JUAREZ, CDMX",16/06/2013,00:21:12,revisado
25/08/2013,16:03:44,2.2,19.3507,-99.196,2,"3 km al NORESTE de LA MAGDALENA C, CDMX",25/08/2013,21:03:44,revisado
01/12/2013,12:04:38,2.2,19.3755,-99.1875,5.6,"3 km al SURESTE de V ALVARO OBREGON, CDMX",01/12/2013,18:04:38,revisado
28/11/2014,13:10:35,2,19.3753,-99.2245,8,"4 km al SUROESTE de V ALVARO OBREGON, CDMX",28/11/2014,19:10:35,revisado
01/12/2014,02:50:06,3.4,19.353,-99.2158,2,"2 km al NORTE de LA MAGDALENA C, CDMX",01/12/2014,08:50:06,revisado
01/12/2014,03:12:16,2.1,19.3548,-99.2268,3.9,"3 km al NOROESTE de LA MAGDALENA C, CDMX",01/12/2014,09:12:16,revisado
01/12/2014,04:02:13,2.3,19.3673,-99.2317,4.6,"4 km al NOROESTE de LA MAGDALENA C, CDMX",01/12/2014,10:02:13,revisado
01/12/2014,04:45:47,2.2,19.36,-99.2287,1.6,"3 km al NOROESTE de LA MAGDALENA C, CDMX",01/12/2014,10:45:47,revisado
01/12/2014,20:40:47,1.4,19.3582,-99.2225,5.2,"3 km al NOROESTE de LA MAGDALENA C, CDMX",02/12/2014,02:40:47,revisado
19/07/2015,17:09:39,2,19.3973,-99.233,5,"3 km al OESTE de V ALVARO OBREGON, CDMX",19/07/2015,22:09:39,revisado
12/09/2015,19:06:27,1.9,19.3905,-99.1535,2,"1 km al SURESTE de BENITO JUAREZ, CDMX",13/09/2015,00:06:27,revisado
28/02/2017,20:47:14,2.4,19.35,-99.1487,5.9,"1 km al ESTE de COYOACAN, CDMX",01/03/2017,02:47:14,revisado
15/05/2017,07:58:04,2.6,19.3458,-99.2348,9.3,"3 km al NOROESTE de LA MAGDALENA C, CDMX",15/05/2017,12:58:04,revisado
07/11/2017,09:10:33,1.5,19.3895,-99.152,3,"2 km al SURESTE de BENITO JUAREZ, CDMX",07/11/2017,15:10:33,revisado
09/11/2017,04:11:33,1.3,19.3463,-99.1518,7,"1 km al SURESTE de COYOACAN, CDMX",09/11/2017,10:11:33,revisado
09/11/2017,04:12:07,2,19.3763,-99.1855,8.5,"3 km al SURESTE de V ALVARO OBREGON, CDMX",09/11/2017,10:12:07,revisado
29/12/2017,01:38:57,2.5,19.3855,-99.1642,1,"2 km al SUROESTE de BENITO JUAREZ, CDMX",29/12/2017,07:38:57,revisado
07/05/2018,08:25:56,2.9,19.4012,-99.2277,6.6,"3 km al OESTE de V ALVARO OBREGON, CDMX",07/05/2018,13:25:56,revisado
15/06/2018,18:00:13,2.7,19.3945,-99.1868,1.5,"1 km al SURESTE de MIGUEL HIDALGO, CDMX",15/06/2018,23:00:13,revisado
30/06/2018,13:32:40,2.2,19.39,-99.153,3.5,"1 km al SURESTE de BENITO JUAREZ, CDMX",30/06/2018,18:32:40,revisado
30/06/2018,13:33:25,1.7,19.39,-99.153,3.5,"1 km al SURESTE de BENITO JUAREZ, CDMX",30/06/2018,18:33:25,revisado
30/06/2018,13:37:00,2.6,19.3895,-99.153,3.5,"1 km al SURESTE de BENITO JUAREZ, CDMX",30/06/2018,18:37:00,revisado
15/07/2018,20:34:14,2.2,19.417,-99.215,4,"2 km al NOROESTE de V ALVARO OBREGON, CDMX",16/07/2018,01:34:14,revisado
18/07/2018,15:13:00,1.9,19.375,-99.201,3,"3 km al SUR de V ALVARO OBREGON, CDMX",18/07/2018,20:13:00,revisado
19/07/2018,06:34:58,1.9,19.3727,-99.2007,3.2,"3 km al SUR de V ALVARO OBREGON, CDMX",19/07/2018,11:34:58,revisado
28/07/2018,07:54:21,2.4,19.3908,-99.2298,4.4,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",28/07/2018,12:54:21,revisado
05/10/2018,09:59:27,2.4,19.375,-99.1833,1.5,"3 km al SURESTE de V ALVARO OBREGON, CDMX",05/10/2018,14:59:27,revisado
13/10/2018,08:54:16,1.8,19.409,-99.1978,2.9,"1 km al NOROESTE de MIGUEL HIDALGO, CDMX",13/10/2018,13:54:16,revisado
12/12/2018,11:51:39,2.2,19.388,-99.2208,1.7,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",12/12/2018,17:51:39,revisado
29/03/2019,02:31:56,2.2,19.4093,-99.2187,1,"2 km al NOROESTE de V ALVARO OBREGON, CDMX",29/03/2019,08:31:56,revisado
18/05/2019,22:13:16,1.7,19.3957,-99.2097,1.1,"1 km al SUROESTE de V ALVARO OBREGON, CDMX",19/05/2019,03:13:16,revisado
18/05/2019,22:13:27,1,19.384,-99.212,2,"2 km al SUROESTE de V ALVARO OBREGON, CDMX",19/05/2019,03:13:27,revisado
30/06/2019,06:38:21,2.3,19.409,-99.1998,1.7,"1 km al NOROESTE de MIGUEL HIDALGO, CDMX",30/06/2019,11:38:21,revisado
30/06/2019,06:38:33,1.4,19.395,-99.202,2,"1 km al SUROESTE de V ALVARO OBREGON, CDMX",30/06/2019,11:38:33,revisado
12/07/2019,04:47:41,2,19.4077,-99.195,menos de 1,"menos de 1 km al NOROESTE de MIGUEL HIDALGO, CDMX",12/07/2019,09:47:41,revisado
12/07/2019,07:38:28,2.7,19.4049,-99.1959,menos de 1,"1 km al SUROESTE de MIGUEL HIDALGO, CDMX",12/07/2019,12:38:28,revisado
12/07/2019,07:51:13,2.3,19.406,-99.1893,1,"menos de 1 km al SURESTE de MIGUEL HIDALGO, CDMX",12/07/2019,12:51:13,revisado
12/07/2019,10:08:04,2.4,19.4049,-99.1939,menos de 1,"menos de 1 km al SUROESTE de MIGUEL HIDALGO, CDMX",12/07/2019,15:08:04,revisado
13/07/2019,01:35:36,2.4,19.4075,-99.1952,menos de 1,"menos de 1 km al OESTE de MIGUEL HIDALGO, CDMX",13/07/2019,06:35:36,revisado
13/07/2019,11:39:20,2.4,19.392,-99.2173,menos de 1,"2 km al SUROESTE de V ALVARO OBREGON, CDMX",13/07/2019,16:39:20,revisado
14/07/2019,02:16:41,2.1,19.405,-99.1912,1,"menos de 1 km al SUR de MIGUEL HIDALGO, CDMX",14/07/2019,07:16:41,revisado
16/07/2019,01:36:44,2.5,19.4045,-99.2049,1,"1 km al NOROESTE de V ALVARO OBREGON, CDMX",16/07/2019,06:36:44,revisado
16/07/2019,22:59:50,3.3,19.4079,-99.2054,1.1,"1 km al NOROESTE de V ALVARO OBREGON, CDMX",17/07/2019,03:59:50,revisado
16/07/2019,23:10:52,2.6,19.4028,-99.2102,menos de 1,"1 km al NOROESTE de V ALVARO OBREGON, CDMX",17/07/2019,04:10:52,revisado
16/07/2019,23:18:46,2.4,19.4019,-99.2138,menos de 1,"1 km al OESTE de V ALVARO OBREGON, CDMX",17/07/2019,04:18:46,revisado
17/07/2019,00:41:36,2.4,19.3983,-99.2173,menos de 1,"2 km al OESTE de V ALVARO OBREGON, CDMX",17/07/2019,05:41:36,revisado
17/07/2019,00:45:53,2.4,19.401,-99.213,menos de 1,"1 km al OESTE de V ALVARO OBREGON, CDMX",17/07/2019,05:45:53,revisado
17/07/2019,01:04:24,2.4,19.398,-99.2158,menos de 1,"2 km al OESTE de V ALVARO OBREGON, CDMX",17/07/2019,06:04:24,revisado
17/07/2019,14:28:05,1.9,19.406,-99.216,menos de 1,"2 km al NOROESTE de V ALVARO OBREGON, CDMX",17/07/2019,19:28:05,revisado
17/07/2019,22:30:06,1.8,19.4072,-99.1938,1,"menos de 1 km al OESTE de MIGUEL HIDALGO, CDMX",18/07/2019,03:30:06,revisado
18/07/2019,13:54:50,2.3,19.379,-99.1922,1,"2 km al SURESTE de V ALVARO OBREGON, CDMX",18/07/2019,18:54:50,revisado
18/07/2019,16:32:53,1.8,19.4118,-99.1993,menos de 1,"1 km al NOROESTE de MIGUEL HIDALGO, CDMX",18/07/2019,21:32:53,revisado
28/07/2019,02:21:22,2.2,19.4064,-99.1987,1.2,"1 km al NORTE de V ALVARO OBREGON, CDMX",28/07/2019,07:21:22,revisado
28/07/2019,02:22:05,1.9,19.396,-99.206,2,"1 km al SUROESTE de V ALVARO OBREGON, CDMX",28/07/2019,07:22:05,revisado
30/07/2019,12:23:50,1.2,19.408,-99.213,1,"2 km al NOROESTE de V ALVARO OBREGON, CDMX",30/07/2019,17:23:50,revisado
02/08/2019,23:17:01,2.3,19.4002,-99.2167,1,"2 km al OESTE de V ALVARO OBREGON, CDMX",03/08/2019,04:17:01,revisado
09/08/2019,05:55:05,2.1,19.3945,-99.2033,1.8,"1 km al SUROESTE de V ALVARO OBREGON, CDMX",09/08/2019,10:55:05,revisado
19/10/2019,20:33:37,2.2,19.4018,-99.2173,1,"2 km al OESTE de V ALVARO OBREGON, CDMX",20/10/2019,01:33:37,revisado
07/12/2019,13:53:27,1,19.4002,-99.2103,menos de 1,"1 km al OESTE de V ALVARO OBREGON, CDMX",07/12/2019,19:53:27,revisado
04/01/2020,02:38:30,2.5,19.402,-99.22,2,"2 km al OESTE de V ALVARO OBREGON, CDMX",04/01/2020,08:38:30,revisado
